OBJECTID,Shape,PARKNUMBER
1,"(40.74789742300004, -73.74460677399992)",Q356
2,"(40.74704608900004, -73.7457819409999)",Q356
3,"(40.747101256000064, -73.74567960799993)",Q356
4,"(40.731128729000034, -73.79348348099995)",Q294
5,"(40.734442037000065, -73.7961506929999)",Q314
6,"(40.78246483500004, -73.96443228899994)",M010
7,"(40.78718642300004, -73.98192462899993)",M071
8,"(40.85924160600007, -73.93438778599995)",M029
9,"(40.86526227400009, -73.92951311799993)",M029
10,"(40.86505927300004, -73.92924961799991)",M029
11,"(40.838983100000064, -73.94608095399991)",M028
12,"(40.870005174000084, -73.87608160699995)",X002
13,"(40.772019948000036, -73.81688907099993)",Q086
14,"(40.77547044000005, -73.81707883399991)",Q086
15,"(40.77598729400006, -73.81678863199994)",Q086
16,"(40.77619500000009, -73.81712436999993)",Q086
17,"(40.770123038000065, -73.82700044099994)",Q347
18,"(40.77056093400006, -73.82762289399994)",Q347
19,"(40.774044324000045, -73.81938620499994)",Q419
20,"(40.78305908800007, -73.80770383099991)",Q390
21,"(40.70996813700009, -73.91763440499994)",Q291
22,"(40.70994164200005, -73.91777072499991)",Q291
23,"(40.71091611400004, -73.91118386099993)",Q002
24,"(40.71108669000006, -73.91103408799995)",Q002
25,"(40.703220798000075, -73.92361610699993)",B016
26,"(40.70388524200007, -73.9237099959999)",B016
27,"(40.692401386000085, -73.97720054899992)",B032
28,"(40.827084555000056, -73.87368515399993)",X004
29,"(40.865664819000074, -73.85059303499992)",X172
30,"(40.735965899000064, -73.98181401099993)",M227
31,"(40.837367172000086, -73.89049221899995)",X010
32,"(40.67488643200005, -73.9292248349999)",B364
33,"(40.67480616600005, -73.92910830499994)",B364
34,"(40.64203904000004, -73.90760444499995)",B360
35,"(40.65374821000006, -73.8940461119999)",B247
36,"(40.653902896000034, -73.89361098899991)",B247
37,"(40.65177486600004, -73.89095473599991)",B247
38,"(40.65158755900006, -73.89093347199992)",B247
39,"(40.65051694600004, -73.89150035999995)",B247
40,"(40.65050338700007, -73.8910603519999)",B247
41,"(40.646462229000065, -73.8993099569999)",B342
42,"(40.64675458900007, -73.89951293999991)",B342
43,"(40.667860328000074, -73.89048701899992)",B056
44,"(40.66740823500004, -73.8902936309999)",B056
45,"(40.66554950500006, -73.88612388799993)",B261
46,"(40.65895071700004, -73.88535295199995)",B214
47,"(40.65918243100003, -73.88637245599995)",B214
48,"(40.59116048100009, -73.93844517999992)",B306
49,"(40.59244673500007, -73.93583903599995)",B308
50,"(40.592202333000046, -73.93695546999993)",B308
51,"(40.62602179900006, -74.0178684789999)",B092
52,"(40.62561513600008, -74.01718277399993)",B092
53,"(40.62773910300007, -74.01715006799992)",B060
54,"(40.62655930500006, -74.01688933299994)",B060
55,"(40.626397670000074, -74.01658717799995)",B060
56,"(40.63932980300007, -74.03083960499993)",B066
57,"(40.63921463000008, -74.03079831399992)",B066
58,"(40.77059051300006, -73.80771909099991)",Q006
59,"(40.77048242600006, -73.8059127059999)",Q006
60,"(40.65987684900006, -73.76267194099995)",Q107
61,"(40.66014379400008, -73.76244627499995)",Q107
62,"(40.66100135100004, -73.76273471899992)",Q107
63,"(40.66385810100007, -73.75958187399993)",Q406
64,"(40.58560765000004, -73.80827714899993)",Q163
65,"(40.61231223200008, -73.9112569429999)",B329
66,"(40.61217142000004, -73.91084233799995)",B329
67,"(40.61269899800004, -73.91179566199992)",B329
68,"(40.611332179000044, -73.9110923309999)",B329
69,"(40.611954912000044, -73.9124741359999)",B329
70,"(40.860619385000064, -73.87125843199993)",X002
71,"(40.858406939000076, -73.92576511699991)",M037
72,"(40.84726845500006, -73.9312477659999)",M037
73,"(40.57722671600004, -73.94672166299995)",B251
74,"(40.57752359400007, -73.94046577699993)",B251
75,"(40.57766328800005, -73.94070440999991)",B251
76,"(40.77718942000007, -73.93522863099992)",Q215
77,"(40.77724342100004, -73.93500882599994)",Q215
78,"(40.77719965000006, -73.9346212609999)",Q215
79,"(40.74899250100009, -73.82187592499992)",Q300
80,"(40.74895989500004, -73.82223100899995)",Q300
81,"(40.74941006800009, -73.82236682699994)",Q300
82,"(40.72719878000004, -73.90404119699991)",Q131
83,"(40.72762366500007, -73.90449509199993)",Q131
84,"(40.72702151100009, -73.9049459599999)",Q131
85,"(40.727199745000064, -73.9052067099999)",Q131
86,"(40.727871538000045, -73.90617777599994)",Q131
87,"(40.72831591600004, -73.90535812599995)",Q131
88,"(40.72841876000007, -73.90552898499993)",Q131
89,"(40.726671415000055, -73.90385745499992)",Q131
90,"(40.72703491400006, -73.90459493799995)",Q131
91,"(40.756927767000036, -73.94722565099994)",Q104
92,"(40.756169588000034, -73.94943882199993)",Q104
93,"(40.75570746200009, -73.94838685999991)",Q104
94,"(40.86807037900007, -73.7935002399999)",X039
95,"(40.865694862000055, -73.8985565669999)",X044
96,"(40.74479658900009, -73.7877045649999)",Q300A
97,"(40.618534052000086, -74.10626199399991)",R005
98,"(40.80987170800006, -73.91048716299991)",X045
99,"(40.810399707000045, -73.9102838309999)",X045
100,"(40.87669852600004, -73.89282160699992)",X136
101,"(40.63054284000009, -74.01119568099995)",B052
102,"(40.63133080800009, -74.01301714899995)",B052
103,"(40.68470657600005, -73.78649122799993)",Q005
104,"(40.684926576000066, -73.7865262279999)",Q005
105,"(40.684363242000074, -73.7865895619999)",Q005
106,"(40.761505905000035, -73.94142012399993)",Q429
107,"(40.76133865600008, -73.94174834099994)",Q429
108,"(40.76138019700005, -73.94137628199991)",Q429
109,"(40.76140872900004, -73.94130663999994)",Q429
110,"(40.76271325300007, -73.93508016999994)",Q333
111,"(40.762330175000045, -73.93568204999991)",Q333
112,"(40.84082493600005, -73.89752960599992)",X010
113,"(40.83532956800008, -73.8958893219999)",X010
114,"(40.83529149000009, -73.89591167399993)",X010
115,"(40.806846317000065, -73.9578344009999)",M056
116,"(40.80625015000004, -73.95824067899991)",M056
117,"(40.718520702000035, -73.88246847799991)",Q102
118,"(40.71841812400004, -73.88309949599994)",Q102
119,"(40.77379806000005, -73.94520331699994)",M081
120,"(40.77418669600007, -73.94451013499992)",M081
121,"(40.79621855800008, -73.8256437679999)",Q126
122,"(40.79631358100005, -73.82569352299993)",Q126
123,"(40.79632708200006, -73.82561125099994)",Q126
124,"(40.79581993000005, -73.8254362479999)",Q126
125,"(40.67901032900005, -73.9424997509999)",B225
126,"(40.67854327200007, -73.94192383299992)",B225
